,UK_B,US_B,JP_B,GE_B,CNY_FX,EUR_FX,GBP_FX,JPY_FX,GOLDS_C,EPRA_X,MXWD_X,NKY_X,SHCOMP_X,SPX_X,SX5E_X,UKX_X,ETH,LTC,DASH,XRP,BTC
2022-03-29,121.0617,118.6855,105.1275,113.3079,0.15713,1.1086,1.3093,0.008137,1919.43,2634.77979,723.16,230.33116,503.43155,4631.6,4434.415529999998,9863.24512,3401.184431040135,130.03148662980206,130.4179099926202,0.8570422317157436,47459.261237539096
2022-03-30,120.8983,119.1324,105.4528,113.1228,0.15754,1.1159,1.3134,0.008208,1932.87,2643.27173,721.11,229.92001,514.61096,4602.45,4417.2124,9961.50879,3383.7887617814154,131.03441780151215,132.68611553761065,0.8604847293390254,47063.36584996355
2022-03-31,121.286,119.3776,105.7128,114.398,0.15773,1.1067,1.3138,0.008217,1937.44,2602.99561,711.56,228.86993,512.9657599999998,4530.41,4324.77246,9874.85156,3283.3028425717257,123.62182315974971,127.11884751896619,0.8152117836532856,45528.40715313835
2022-04-01,121.2657,118.7262,105.6821,114.0469,0.15716,1.1043,1.3114,0.008161,1925.68,2612.94727,712.67,225.71576,515.91522,4545.86,4326.22266,9878.41797,3451.1960908672754,124.86179417881476,128.30323033440027,0.8271257464579131,46270.20070585378
2022-04-02,,,,,,,,,,,,,,,,,3440.3362384891684,124.89076345530324,127.10072998693688,0.8242671521526577,45842.14476317382
2022-04-03,,,,,,,,,,,,,,,,,3521.5847247785246,129.00601434534587,132.3485798795168,0.8425965315597546,46434.562982661664
2022-04-04,121.935,118.5883,105.6963,114.554,,1.0972,1.3116,0.008145,1932.73,2605.27832,718.79,225.95901,,4582.64,4336.354,9905.20898,3520.9671175043636,124.81807485356087,133.25739938337225,0.8281276338170943,46622.63571309101
2022-04-05,120.8753,116.9831,105.6218,113.4979,,1.0905,1.3074,0.008091,1923.6,2612.28784,711.83,224.84004,,4525.12,4275.94141,9962.55273,3422.9698837547116,123.23769153749286,127.84637174390457,0.8187524569103866,45635.45438126673
2022-04-06,120.2594,116.5221,105.3559,113.1426,0.15724000000000002,1.0896,1.3069,0.008078,1925.35,2558.02417,703.14,221.01253,516.27008,4481.15,4171.97168,9921.67676,3171.371104498954,112.3400632906268,114.05628672643721,0.7621659169264008,43198.77526936491
2022-04-07,120.1595,116.0946,105.4553,112.6913,0.15722,1.0879,1.3075,0.008066,1931.86,2538.82227,702.39,216.98329,508.88229,4500.21,4135.44629,9858.13281,3232.834988999582,114.25646832357047,117.14524219098277,0.788300179889034,43515.15032279806
2022-04-08,119.881,115.4551,105.5215,112.5198,0.15711,1.0877,1.3025,0.008046,1947.54,2552.40845,702.13,216.9451,510.89551,4488.28,4194.8198200000015,9994.9707,3192.0250912893603,110.75990691125516,110.92208154054636,0.7549598472923912,42315.70972421807
2022-04-09,,,,,,,,,,,,,,,,,3265.938067729151,112.86859646232077,114.83550868894953,0.7636267236265126,42796.39747810973
2022-04-10,,,,,,,,,,,,,,,,,3219.159553453764,111.00071738173511,111.73494967925075,0.7562784300098224,42274.907370256085
2022-04-11,118.9419,114.8245,105.4244,111.4088,0.15699000000000002,1.0884,1.3030000000000002,0.007975,1953.52,2558.8645,692.77,213.70026,497.19403,4412.53,4176.73877,9922.84863,2992.7021064252435,102.56050255857352,100.2969961758634,0.6955843985559773,39603.965159284155
2022-04-12,119.4235,115.3079,105.3918,111.6513,0.15709,1.0828,1.3001,0.007975,1966.76,2507.14746,690.06,210.27611,504.78815,4397.45,4154.07959,9866.32617,3038.209421996366,104.95044417541315,102.35673792181612,0.7171206298978289,40205.67794073206
2022-04-13,119.4032,115.5301,105.3977,111.9085,0.15703,1.0888,1.3117,0.007958,1977.8,2504.1333,695.91,213.72206,500.42776,4446.59,4165.58594,9926.2998,3121.399823462041,110.53930830483573,105.95437229691977,0.7255258559860935,41205.16871904067
2022-04-14,118.5791,114.2909,105.5159,111.2336,0.15678,1.0828,1.3071,0.007943,1973.71,2519.2627,690.71,215.77066,505.7132,4392.59,4162.73242,9944.70703,3023.417211885316,107.48156952563316,106.8033608522525,0.7275666877771264,39959.457069033735
2022-04-15,118.5852,114.2998,105.4073,111.2361,0.15695,1.081,1.306,0.007908,1978.24,2516.93359,690.21,214.36182,504.0014,,,,3045.42807480128,111.1289503571866,109.3999360572487,0.7877335942179761,40586.59730938673
2022-04-16,,,,,,,,,,,,,,,,,3066.3580141449797,114.49650141679822,108.80413344887523,0.7829999223908309,40450.37930543977
2022-04-17,,,,,,,,,,,,,,,,,2995.719421019825,108.71825474219008,104.62473978733605,0.7537394037896591,39739.11925622209
2022-04-18,118.5912,114.002,105.3841,111.2385,0.15705999999999998,1.0782,1.3019,0.007873999999999999,1978.91,2503.94678,688.63,211.0712,501.88062,4391.69,,,3061.8905711469047,111.302877050644,108.48123124440056,0.7689778999098668,40833.5379650337
2022-04-19,117.5372,113.2458,105.3609,110.2044,0.15641,1.0788,1.2998,0.007758,1950.09,2462.07104,694.23,209.57666,499.5744,4462.21,4135.68848,9886.98535,3104.688447526111,113.79988861884509,109.79595787998797,0.7754484655148195,41498.12244669832
2022-04-20,118.2238,114.2517,105.1873,110.86,0.15578,1.0853,1.3068,0.007819,1957.77,2477.85327,696.27,212.82234,490.87894000000006,4459.45,4225.31104,9956.89551,3079.6764776018495,111.92766358334414,107.05346049818834,0.7521764937695645,41397.220477279625
2022-04-21,117.4309,113.6663,105.2222,110.2563,0.15502,1.0834,1.3030000000000002,0.007789,1951.62,2497.72021,688.47,214.25397,477.43781,4393.66,4259.55566,9943.0332,2987.4888760341605,106.89090641704792,102.36598732468643,0.7332117695793329,40528.54148675958
2022-04-22,117.8109,113.6959,105.1556,109.8582,0.15381,1.079,1.2839,0.0077810000000000015,1931.6,2437.96191,671.63,210.29762,474.80838,4271.78,4139.146970000002,9655.58105,2967.085285238213,105.47447126163598,103.76458789969669,0.7202396768888107,39756.848993471016
2022-04-23,,,,,,,,,,,,,,,,,2940.6879777714407,105.34013056044067,102.64683531799626,0.7073588176557891,39561.78019075613
2022-04-24,,,,,,,,,,,,,,,,,2922.901865199808,104.58308427822774,100.44031801831225,0.6987978369588094,39469.04986198146
2022-04-25,119.0684,114.376,105.2465,110.941,0.15245,1.0713,1.2741,0.007804000000000002,1897.83,2392.91675,668.61,208.2285,446.46716,4296.12,4026.25757,9395.42773,3008.3363470853,104.66822417420701,99.77270185458576,0.6956329293874107,40488.877917622376
2022-04-26,119.4985,115.1937,105.1944,111.5297,0.15252000000000002,1.0638,1.2574,0.007859999999999999,1905.51,2372.58691,655.01,209.36337,440.23215,4175.2,3966.59766,9315.46289,2806.748835957046,98.47205957828237,93.19816281773117,0.6423263433710342,38134.21545068938
2022-04-27,119.2727,114.5161,105.2034,111.5268,0.15242999999999998,1.0557,1.2545,0.007787,1886.1,2361.45361,653.9,205.69559,450.91638,4183.96,3944.90015,9331.76367,2889.5922230230817,100.51488368377036,95.54618816660604,0.6528348665066932,39237.94931747103
2022-04-28,118.6616,114.329,105.4854,110.3923,0.15091,1.0499,1.2457,0.007643,1894.45,2345.26099,665.8,204.99275,449.02814000000006,4287.5,3970.78101,9359.4541,2932.455083612903,103.10591198109535,96.34156141584856,0.6441268452417402,39741.766645809636
2022-04-29,118.1777,113.7216,105.4861,110.0384,0.15132,1.0545,1.2574,0.007706,1896.93,2329.69385,653.67,,461.0824,4131.93,4011.63696,9489.53516,2817.4898821916195,100.36942789506243,92.28184576248206,0.6124562324749452,38650.55013809267
2022-04-30,,,,,,,,,,,,,,,,,2738.1741359527714,96.0665098759044,85.10233082789308,0.587810639474169,37820.61176529208
2022-05-01,,,,,,,,,,,,,,,,,2832.513106895354,99.56235862188755,90.36927612728334,0.6092166608195787,38537.65476669535
2022-05-02,118.1838,112.8162,105.2955,109.9179,,1.0507,1.2492,0.007681,1863.02,2284.92993,653.57,206.01114,,4155.38,3922.42114,,2861.3723755560436,100.73815903947606,89.29665045862428,0.6144864952252795,38561.56539902362
2022-05-03,118.46,112.9746,105.2962,110.0178,,1.0521,1.2499,0.007684000000000002,1868.12,2247.09033,656.13,,,4175.48,3955.26733,9442.58887,2786.0472478011084,99.43926446179714,88.17472866960017,0.6054702647179527,37758.496107734
2022-05-04,117.5752,113.5943,105.2969,109.6618,,1.0622,1.2631,0.007746999999999999,1881.22,2204.88867,667.08,,,4300.17,3929.49194,9362.31641,2942.052313122658,106.29717692427855,96.00405679101151,0.6479594190283386,39699.02404125388
2022-05-05,117.8685,112.3755,105.2977,109.1058,0.15025,1.0542,1.2362,0.007683,1877.18,2211.12549,650.08,,460.91513,4146.87,3885.52783,9257.53418,2753.936566546688,97.05144187824921,87.59298057605649,0.6004742594763544,36612.229548803036
2022-05-06,117.1548,111.6306,105.1315,107.8638,0.15,1.0551,1.2348,0.007661,1883.81,2149.47046,643.67,207.03488,450.2319,4123.34,3835.66968,9129.27734,2699.7072470893745,96.81791440016933,88.11264584133703,0.6035240236351163,36116.394294982965
2022-05-07,,,,,,,,,,,,,,,,,2641.229106940243,94.52334951622642,83.66798436504504,0.5838448651199512,35573.31019883488
2022-05-08,,,,,,,,,,,,,,,,,2517.8299224886478,93.97274561774242,83.10117477054716,0.5669608041110882,34070.31219757961
